label,id,waktu,text
-1,1.39E+18,Fri Apr 23 12:38:07 +0000 2021,"sch! katanya nih tahun ajaran baru nanti sekolah offline ya? kalian takut gak sih? jujur karena selama ini aku apa-apa google terus.. gimana nanti di kelas, terutama ulangannya ・E・E・Eｩ"
-1,1.39E+18,Fri Apr 23 11:40:07 +0000 2021,jujur aja gamau kuliah offline di kelas. paling engga hybrid aja deh jangan offline full. gue cuma mau ngumpulnya aja gamau kuliah offlinenya
-1,1.39E+18,Fri Apr 23 11:00:30 +0000 2021,@collegemenfess Jangan terlalu semangat masuk kelas pagi pagi kalau offline ntar kecewa gaada dosen
-1,1.39E+18,Fri Apr 23 09:16:45 +0000 2021,"@fullshan_ Iya asli abis kelas tuh kyk cape banget wkwkwk 
Tapi belum siap offline kyk udh terlanjur nyaman online wkwkwkwkwk・E・E・E・E"
-1,1.39E+18,Fri Apr 23 08:19:58 +0000 2021,sch! kalo kelas 12 itu butuh tambahan les offline diluar sekolah ga sih? aku takut kalo les offline ga bisa aku manfaatin scr maksimal apalagi pandemi kek gini :(
-1,1.39E+18,Fri Apr 23 07:49:12 +0000 2021,"@collegemenfess punten nanya, tapi emang dulu pas lagi kelas offline terus ngebosenin, dosen lu main ulernaga panjang apa begimana?"
-1,1.39E+18,Fri Apr 23 04:50:10 +0000 2021,"@Cofflatteee @collegemenfess kampusku max 24 kok, cuma kelas asdos ga dihitung max sks itu jadi aku sempet nyicip 30 sks karena ambil 3 kelas asdos・E・E・E・E untung itu pas awal2 corona jd setengahnya online wkwkwk pas offline cape bangaaatt"
-1,1.39E+18,Fri Apr 23 04:19:52 +0000 2021,"Males bgt mau offline, nanggung loh bentar lagi kenaikan kelas keburu buru amat dh ・E・E・E・E・E・E・E・E"
-1,1.39E+18,Fri Apr 23 03:21:54 +0000 2021,"@collegemenfess Punya temen pas kuliah offline gue ga suka dia, ehh pas online dia yg sering nolongin gue huhuhu. Skrg udah beda kelas, tp kalo mau julid yaa sama dia wkwk"
-1,1.39E+18,Fri Apr 23 01:04:55 +0000 2021,"@subschfess Temen kelas, interaksi online aja males apalagi offline, ga cocok aja sama orang2nya wkwk"
-1,1.39E+18,Thu Apr 22 15:48:24 +0000 2021,"@bbiillkinn Lebih ke jadwal kelas jadi ga teratur sih, tapi temen temenku lebih suka online daripada offline :')"
-1,1.39E+18,Thu Apr 22 13:56:56 +0000 2021,"Sch! Zenius ultima yay or nay? Aku rencana kelas 12 mau ambil ituu, soalnya lbh murah dibanding bimbel offline"
-1,1.38E+18,Tue Apr 20 07:07:05 +0000 2021,"panik, takut sekolah tatap muka"
-1,1.38E+18,Tue Apr 20 07:01:07 +0000 2021,"RT @TeukuParvinanda: ""Infeksi pada anak rendah"". Situ mau anaknya dilepas sekolah tatap muka dgn situasi berisiko gini? Situ aja semua serb・ｦ"
-1,1.38E+18,Tue Apr 20 06:23:50 +0000 2021,Dapet berita sekolah tatap muka bukanya seneng malah LEMES
-1,1.38E+18,Tue Apr 20 06:17:29 +0000 2021,Gue hari Kamis sekolah tatap muka・・・・plisss gamauuu males
-1,1.38E+18,Tue Apr 20 05:26:17 +0000 2021,"Alasan Menunda Sekolah Tatap Muka

1. Muncul varian SARS-CoV-2 yang lebih mudah menular
2. Meskipun anak bisa mengalami gejala COVID-19 yang ringan, tapi anak dapat menularkan virus ke orang yang lebih tua dan rentan kena COVID-19 yang berat."
-1,1.38E+18,Tue Apr 20 04:48:42 +0000 2021,"@detikcom Makan itu sekolah. Anak saya lbh baik tinggal kelas dr pd saya izinkan dia tatap muka, karena sy yg berdosa jk anak sy ketularan mentang2 raja Grab ..."
-1,1.38E+18,Tue Apr 20 04:47:01 +0000 2021,liat berita yang udah mulai menerapkan sekolah tatap muka malah jadi cluster baru.. hmm
-1,1.38E+18,Tue Apr 20 03:58:19 +0000 2021,"@schfess kontra, anak"" gk semuanya bisa tahan gk lepas masker, gk cuci tangan, gk jaga jarak. Jadi menurut gw justru klo masuk sekolah tatap muka malah naikin kasus covid RIa"
-1,1.38E+18,Tue Apr 20 03:48:56 +0000 2021,"@schfess KONTRA, sudah banyak kejadian yang percobaan sekolah tatap muka jadi klaster baru COVID-19. Untuk Indonesia, saat ini belum bisa dikendalikan kenaikan kasusnya. 3T (Pemerintah) belum maksimal ditambah masyarakat masih abai. Guru2 byk yg divaksin, tapi itu BUKAN jaminan."
-1,1.38E+18,Tue Apr 20 03:28:24 +0000 2021,"@schfess gue udh ngelakuin tatap muka dr bulan awal maret, dan hasilnyaaa... banyak banget yang ga pake masker, di jalan iya pake masker nyampe sekolah di lepas atau dicantelin doang disimpen dibawah dagu, gurunya yg pake masker cuman 10% dari semua banyak guru. ofc kontra buat sekolahku"
-1,1.38E+18,Tue Apr 20 03:21:02 +0000 2021,"Td walas aku ngeshare gform buat pernyataan pelajaran tatap muka, seneng sih. But, aiu dh kls 12 dh selesai US, ngapain ke sekolah?"
-1,1.38E+18,Tue Apr 20 03:07:32 +0000 2021,"@schfess Dan satu lagi,kalau lu positif trus jadi klaster baru,angka covid meledak ntar bisa"" tatap muka yg ada diundur lagi sat.
Jadi selama tatap muka gausah bandel"" ya jingan.
Jangan perkara lu gapatuh prokes,satu sekolah ditutup,satu provinsi ditutup
BACA NIH BUAT YANG PRO"
-1,1.38E+18,Tue Apr 20 03:01:10 +0000 2021,"Saya tidak menyalahkan siapapun saya hanya bercerita saya menyalahkan diri saya dan kondisi Covid ini yang sangat meresahkan, ini baru awal tatap muka di jawa barat semoga kedepannya lagi  sekolah tatap muka ini menjadi lebih baik.
#Merdekabelajar"
-1,1.38E+18,Mon Apr 19 20:12:50 +0000 2021,"@ernestprakasa Saya pribadi mmg ga setuju anak masuk tatap muka, rapat ortu saya menolak,bahkan klo dipaksa tatap muka thn ini, sy sdh rencana anak mengundurkan diri dr sekolah.drpd hrs kehilangan nyawa anak,wlw mnrt ortu lain mikirnya terlalu jauh, tapi ini kenyataan."
-1,1.38E+18,Mon Apr 19 16:06:34 +0000 2021,"Pleaseee baru inget besok sekolah tatap muka. Terus banyak tugas belum. Padahal dah niat kumpul besok, tapi lupa gara main twitter ・・ｺ"
-1,1.38E+18,Mon Apr 19 15:17:39 +0000 2021,"sumpah si bulan puasa blm siap bngt sekolah tatap muka,asa baru masuk benget udah pucet ajee"
