1.38611E+18,Sat Apr 24 23:54:27 +0000 2021,"dg adanya rolling masuk ma'had, hari ini waktunya kelas 7 masuk boarding.. mereka sebegitu excited nya bwt masuk boarding sampai sekecil apapun ditanyakan gak bisa tidur dri semenjak ada info masuk offline mahad ÅEÅEÅE≠"
1.38609E+18,Sat Apr 24 22:58:29 +0000 2021,@collegemenfess bgiku offline dah.kelas online dpet apaan coba?aku yg dinegeri saja mrsa rugi.kita online krn covid.dan mslah mudah kerja itu gk mndng universitas mu tp skillmu di kerjaan.aku pengalaman kerja 2x sbgain sampingan sjaa hehehe
1.38601E+18,Sat Apr 24 17:28:43 +0000 2021,"gw pengen bgt sekolah offline lagi, tpi gw jg takut karna jujur gw selama setahun ini kek gada yg bener2 bisa gw tangkep materinyaÅEÅEÅE≠ mana ajaran baru gw kelas 12 kann kek anjir lu kls 11 ngapain aja pawÅEÅEÅE≠"
1.386E+18,Sat Apr 24 16:55:56 +0000 2021,@bertanyarl aku cuma mau pas aku masuk kelas 9 udah sekolah offline...
1.38598E+18,Sat Apr 24 15:29:01 +0000 2021,Pas kelas offline perna jual isian binder 10 lembar 2k. Buat beli rokok hahaha
1.38597E+18,Sat Apr 24 15:03:48 +0000 2021,Apakabarnya lt 4 gedung psi ya ÅEÅEÅEÅE kuliah offline aja kalo kebagian sore di sana agak-agak menyeramkan apalagi skrg jarang org diem di kelas ÅEÅEÅEÅE
1.38596E+18,Sat Apr 24 13:59:27 +0000 2021,"@deternalyoon jangankan kelas 10, seandainya sekolah offline deh, gue jabaninÅEÅEÅE≠"
1.38593E+18,Sat Apr 24 12:17:10 +0000 2021,RT @poIarblue: @collegemenfess Banyak kok nder. Kalau kelasku sih kelompok cowo¬≤ sm cewe¬≤ suka misah. Kalau kelas offline pun duduknya misaÅEÄ¶
1.38593E+18,Sat Apr 24 12:15:55 +0000 2021,"@collegemenfess Banyak kok nder. Kalau kelasku sih kelompok cowo¬≤ sm cewe¬≤ suka misah. Kalau kelas offline pun duduknya misah. Misal yg cewek di bangku kanan, yg cowok di kiri. Kalau disuruh sebaris, cewek¬≤ di bangku baris ke 1-2, baris ke 4-5 cowo. Aneh memang"
1.38593E+18,Sat Apr 24 12:01:06 +0000 2021,Agr! Kangen ga belajar offline di kampus waktu bulan puasa ? Tetap semangat menjalankan ibadah puasa &amp; UTSnya! Jangan sampai ketiduran ya kalau ada kelas pagi ÅEÅEÅEÅE∏ÅE
1.3859E+18,Sat Apr 24 10:23:36 +0000 2021,"@schfess aku di nf udah 3 tahunan 
kakaknya baik2 n ramah2, kalo ngelanjutin dari thn sblmnya ke thn berikutnya bakal dikasih diskon 25/35% gitu lupa, kakaknya ngga selalu sama jd seru, offline &amp; online ada semua, ada kelas BIP bisa buat curhat ttg ptn atau jurusan, bisa konsul sendiri"
1.38586E+18,Sat Apr 24 07:55:20 +0000 2021,"@archeiden di bagi jadi 2 kelas, kelas a sama b trs ga semua ikut ada yg belum offline"
1.38586E+18,Sat Apr 24 07:26:00 +0000 2021,"gue drtd matiin hp satu, pas idupin ternyata udh di telfonin masuk kelas offline hari ini tbtb tambahan ye gue lg kelas laen brook gmn dong dah berasa idol ni jadwal tabrakan"
1.38581E+18,Sat Apr 24 04:03:22 +0000 2021,"@schfess relate bgt si, gue dulu ky kumpul sm penguasa kelas pas masi offline trus dia kek cuman bacotan doang tanpa hasil. gue sm temen sebangku gue yg notabene shbat gue kek diperbudak gt tiap ad ulangan hrian/ujicb dia slalu mnta gue sm tmen gue nyontekin-"
1.3858E+18,Sat Apr 24 03:32:37 +0000 2021,"[askrl] realistis ya, menurut kalian nanti bulan juni (tahun ajaran baru) sekolah/kuliah bakalan masuk offline atau belum? krn kyk ini lebaran aja banyak yg pulang+libur kenaikan kelas+yg dr 1nd14 kmrn:ÅEÄÅE"
1.38574E+18,Fri Apr 23 23:49:53 +0000 2021,@shitig_id enakan kelas Offline
1.38571E+18,Fri Apr 23 21:22:48 +0000 2021,Masa mimpi telat masuk kelas pas kuliah offlineÅEÅEÅE≥
1.38567E+18,Fri Apr 23 18:44:56 +0000 2021,"@kdytrsr aaa demi apaa belom pernah kelas offline ÅEÅEÅE≠ santai aja elahh lebih enakan dipanggil nama, klo pake kak kayak orang jauh tau :( btw iya pokoknya klo anaknya kebo bgt mending cari kosan yang super deket sama kampus...."
1.38566E+18,Fri Apr 23 18:30:38 +0000 2021,Ya Allah baru inget bsk kelas offline pagi ÅEÅEÅE≠ÅEÅEÅE≠ÅEÅEÅEÅE
1.38561E+18,Fri Apr 23 14:53:09 +0000 2021,@yzoichi masih online mungkin naik kelas baru offline
1.3856E+18,Fri Apr 23 14:22:51 +0000 2021,"@bertanyarl pengen offline, tapi takut juga. soalnya katanya adek kelas ada yg positif masaÅEÅEÅEÅE"
1.38559E+18,Fri Apr 23 13:45:55 +0000 2021,"@bunnieme___ nanggung abis ini 9th gradeÅEÅEÅEÅE, kenapa ngga awal kenaikan kelas aja offline nyaÅEÅEÅEÅE"
1.38559E+18,Fri Apr 23 13:43:19 +0000 2021,"Semester gasal di 2021, masuk offline cuma klo ada praktikum yang urgent
Semester genap di 2022, masuk offline praktikum+kelas tatap muka 20-50% kapasitas
Semester gasal di 2022, praktikum+kelas tatap muka 50-75% kapasitas
Semester genap di 2023, kemungkinan offline lagi"
1.38559E+18,Fri Apr 23 13:34:36 +0000 2021,"@mengganis pls sama bgt ampe gurunya bilang ""ips 5 parah bgt"", kalo offline mereka kaya gt liat aja gue marah marah di kelas wlwkwkwkwkwl"
1.38558E+18,Fri Apr 23 12:58:03 +0000 2021,"alias kangennnn kelas offline pleaseeee, belum puas ngerasain offline ntar tau tau udah lulus ÅEÅEÅE©ÅEÅEÅEÅEÅE∏ÅE"
1.38558E+18,Fri Apr 23 12:53:50 +0000 2021,"ent jadi serabut sebab ko kelas online pastu nak kena meniaga online bagai. kalau offline, aku ngn member jual tauhu begedil, settle. ni dah lah partner semua jauh jauh."
1.38557E+18,Fri Apr 23 12:39:56 +0000 2021,@hanjiys belum mijak kelas offline samsek anjir :(
1.38557E+18,Fri Apr 23 12:38:07 +0000 2021,"sch! katanya nih tahun ajaran baru nanti sekolah offline ya? kalian takut gak sih? jujur karena selama ini aku apa-apa google terus.. gimana nanti di kelas, terutama ulangannya ÅEÅEÅE©"
1.38556E+18,Fri Apr 23 11:51:13 +0000 2021,@Aufaaa_a @schfess Tuh tips sebelumnya brader krn dekat di online belum tentu akrab di offline makanya aku booking 1 anak dulu. Janjian gitu berangkat sm duduknyaÅEÅEÅE≠ trs setelah 2 harian barulah berbaur di kelas noh dah kek pasar malem.
1.38556E+18,Fri Apr 23 11:50:25 +0000 2021,"@Iadybird_ kalo aku dapet info dari bu elvi ciin waktu kelas pragma, ceunah bilang ""kemungkinan semester depan hybrid, terutama semester tua offline buat nyelesain skripsi"""
1.38556E+18,Fri Apr 23 11:43:00 +0000 2021,"@schfess sblm offline gue harus bisa nguasain materi (klo bisa semua) kls 7 dan 8. krna siapa tau gue masuk offline kelas 9 dan ya gue harus ngerti materi biar ga bego"" amat. tapi sampe skrng masih rebahan WKWKWK"
1.38556E+18,Fri Apr 23 11:42:13 +0000 2021,gais mau tanya enknya ikut himbel wktu kelas 11/12 yaa? trs kl misal kelas 11 bimbel online apa offline? aku mengbingung sekaliÅEÅEÅEÅEÅEÅEÅEªÅEÄÅEÅEÅEÄÅE∏ÅE
